,coeff_Ch5,coeff_Ch6,coeff_gACH,coeff_gDA
photometrySideInIndexAA_019,0.1687131953501139,-0.021889917667856255,0.0502360162979901,-0.12144602607474397
photometrySideInIndexAA_020,0.1541686709693143,0.009095272868916527,0.08636876003396339,-0.12262704062005135
photometrySideInIndexAa_-20,-0.027066339033581226,-0.11962532350949821,-0.1380251977192651,-0.09512457450817635
photometrySideInIndexAa_-19,-0.032015301407768926,-0.10273522938017554,-0.10716233299630339,-0.09380149643421498
photometrySideInIndexAa_-18,-0.04506461687793757,-0.0316660228659231,-0.08029250207122521,-0.062359826373435824
photometrySideInIndexAa_-17,-0.07256115591823839,-0.024867414521139948,0.005559453026934964,-0.02163040224334528
photometrySideInIndexAa_-16,-0.05211417543099742,0.03558608792173033,0.12865580389707781,0.01696836977142885
photometrySideInIndexAa_-15,-0.04900707799632481,0.11970842499379834,0.23828721844879014,0.13516223544804357
photometrySideInIndexAa_-14,-0.04511695785494024,0.2658751031982334,0.34850157616872557,0.3495370883565741
photometrySideInIndexAa_-13,-0.06433545465820106,0.4202475792369454,0.4137119667245561,0.624065754319786
photometrySideInIndexAa_-12,-0.08292481586739867,0.578133405436294,0.4591540750446107,0.9047937312281634
photometrySideInIndexAa_-11,-0.2680108418853737,0.8299164291494133,0.3667111157826051,1.0315275415277403
photometrySideInIndexAa_-10,-0.5151768283657132,1.0214835231973673,0.22391809490067502,0.9880288981912536
photometrySideInIndexAa_-09,-0.8438594006775848,1.068620005587319,-0.12701187883929002,0.8233013311094245
photometrySideInIndexAa_-08,-1.089864814909806,1.0262965591832793,-0.5134521386072176,0.6057034726913227
photometrySideInIndexAa_-07,-1.2561631033063374,1.0620566562509377,-0.782152360850318,0.5027023280023235
photometrySideInIndexAa_-06,-1.2900156037444934,1.1069237608316191,-0.8965340729429301,0.4885231988878395
photometrySideInIndexAa_-05,-1.3163544595462462,1.1302786840910515,-0.8697439155545293,0.5479062984690316
photometrySideInIndexAa_-04,-1.236879436986798,1.22336013147867,-0.8037750001649873,0.5770918053680983
photometrySideInIndexAa_-03,-1.130030529115494,1.2124318625404682,-0.7142344418702956,0.6025165748939915
photometrySideInIndexAa_-02,-0.9655584864287797,1.110540117642705,-0.7209255383823264,0.33844760217828446
photometrySideInIndexAa_-01,-0.529983073891391,0.7415178149639764,-0.7638012951333653,-0.15814592637504477
photometrySideInIndexAa_000,0.0036495185956841314,0.4085797960444691,-0.5581370374892156,-0.6691225522396029
photometrySideInIndexAa_001,-0.2417199539018033,0.21313668191373333,-0.6376652089323555,-1.037450799145091
photometrySideInIndexAa_002,-0.7127134910210966,-0.1696391381934505,-1.0359906741062632,-1.3573893431238915
photometrySideInIndexAa_003,-0.7171933902773004,-0.5749308012332404,-1.357935431317635,-1.659968176360407
photometrySideInIndexAa_004,-0.2784022723448474,-0.9116287380428909,-1.433730077192249,-1.85454103521513
photometrySideInIndexAa_005,0.39839841276284643,-1.1259409327009677,-1.1849208784080332,-1.868754822500291
photometrySideInIndexAa_006,1.126732379736576,-1.2328817967803145,-0.6694075843371835,-1.720447715814778
photometrySideInIndexAa_007,1.5704559235781679,-1.2780244680256863,-0.176576855953501,-1.4124394884433675
photometrySideInIndexAa_008,1.6634041885801256,-1.2279848872604562,-0.009869753375443834,-1.0529459129732317
photometrySideInIndexAa_009,1.4254853971872483,-1.1045351948279611,0.05225817336308342,-0.7961800975986071
photometrySideInIndexAa_010,1.1209955607433035,-0.9618326543225021,0.012568504789158035,-0.6318237536250901
photometrySideInIndexAa_011,0.7914359342720853,-0.8575437973774369,-0.04043224773854542,-0.5070251321265244
photometrySideInIndexAa_012,0.6143202383603661,-0.7718095534800753,-0.06997288476382052,-0.4339194427544081
photometrySideInIndexAa_013,0.43546025988260717,-0.6412946497189125,-0.026733538162083594,-0.3772719692736305
photometrySideInIndexAa_014,0.3073349034318383,-0.5348033365596011,0.0403307025458464,-0.33387565674100556
photometrySideInIndexAa_015,0.23688447438608165,-0.4006678115680502,0.09992230327561014,-0.33975417949759656
photometrySideInIndexAa_016,0.19099554920462633,-0.3270670508438581,0.12952620989969943,-0.33213518766581857
photometrySideInIndexAa_017,0.14057697819711115,-0.253521967337751,0.116456160870319,-0.2886551973900325
photometrySideInIndexAa_018,0.15308699151916746,-0.17951503101508315,0.057226117601172,-0.2011297486994894
photometrySideInIndexAa_019,0.1405854758988825,-0.1555017212648804,0.024420402344959777,-0.16542378333617352
photometrySideInIndexAa_020,0.13732224000461632,-0.09010971515268473,0.016966905107176113,-0.1266866871742213
photometrySideInIndexaA_-20,0.11959869420539374,0.11900723423338318,0.054782380381333394,-0.03093780240439558
photometrySideInIndexaA_-19,0.12509836437834096,0.0852418382355548,0.050649995601873506,0.02040358380316231
photometrySideInIndexaA_-18,0.11307088939309752,0.11326832156313094,0.09476937783268471,0.07730366602603965
